CPTCode,Total,OFF,FAC,TC27,PC26
85292,$51.50, , , , 
85293,$51.50, , , , 
85300,$41.54, , , , 
85301,$42.64, , , , 
85302,$47.07, , , , 
85303,$51.50, , , , 
85305,$55.94, , , , 
85306,$55.94, , , , 
85307,BR, , ,BR,BR
85335,$23.26, , , , 
85337,$42.64, , , , 
85345,$8.30, , , , 
85347,$8.30, , , , 
85348,$13.84, , , , 
85360,$27.70, , , , 
85362,$18.83, , , , 
85366,$27.70, , , , 
85370,$27.70, , , , 
85378,$22.16, , , , 
85379,$25.47, , , , 
85380,$12.87, , , , 
85384,$17.17, , , , 
85385,$21.60, , , , 
85390,$21.60, , ,$10.80,$10.80
85396,$32.63, , , , 
85397,BR, , ,BR,BR
85400,$40.99, , , , 
85410,$40.99, , , , 
85415,$31.57, , , , 
85420,$40.99, , , , 
85421,$51.50, , , , 
85441,$7.76, , , , 
85445,$12.19, , , , 
85460,$23.26, , , , 
85461,$23.26, , , , 
85475,$29.36, , , , 
85520,$34.34, , , , 
85525,$34.34, , , , 
85530,$34.34, , , , 
85536,BR, , ,BR,BR
85540,$21.60, , , , 
85547,$19.94, , , , 
85549,$43.76, , , , 
85555,$16.06, , , , 
85557,$42.64, , , , 
85576,$42.64, , ,$34.11,$8.53
85597,$29.90, , , , 
8559,BR, , ,BR,BR
85610,$12.19, , , , 
85611,$12.74, , , , 
85612,$23.81, , , , 
85613,$28.24, , , , 
85635,$17.17, , , , 
85651,$10.53, , , , 
85652,BR, , ,BR,BR
85660,$12.19, , , , 
85670,$15.50, , , , 
85675,$17.73, , , , 
85705,$32.67, , , , 
85730,$14.40, , , , 
85732,$17.17, , , , 
85810,$19.94, , , , 
85999,BR, , ,BR,BR
86000,$19.94, , ,$19.94,$0.00
86001,BR, , ,BR,BR
86003,$111.33, , , , 
86005,$42.64, , , , 
86021,$51.50, , , , 
86022,$78.10, , , , 
86023,$42.64, , , , 
86038,$29.90, , , , 
86039,$29.90, , , , 
86060,$20.50, , , , 
86063,$15.50, , , , 
86077,$35.44, , , , 
86078,$68.13, , , , 
86079,$37.10, , , , 
86140,$16.06, , , , 
86141,$28.27, , , , 
86146,BR, , ,BR,BR
86147,$59.82, , , , 
86148,BR, , ,BR,BR
86152,BR, , ,BR,BR
86153,BR, , ,BR,BR
86155,$23.26, , , , 
86156,$15.50, , , , 
86157,$19.94, , , , 
86160,$37.66, , , , 
86161,$37.66, , , , 
86162,$53.17, , , , 
86171,$24.93, , , , 
86185,$23.81, , , , 
86215,$33.23, , , , 
86225,$37.10, , , , 
86226,$37.10, , , , 
86235,$32.67, , , , 
86243,$40.43, , , , 
86255,$29.90, , , , 
86256,$37.10, , , , 
86277,$29.90, , , , 
86280,$24.93, , , , 
86294,BR, , ,BR,BR
86300,BR, , ,BR,BR
86301,BR, , ,BR,BR
86304,BR, , ,BR,BR
86305,BR, , ,BR,BR
86308,$14.40, , , , 
86309,$20.50, , , , 
86310,$21.60, , , , 
86316,$44.30, , , , 
86317,$20.50, , , , 
86318,$20.50, , , , 
86320,$53.73, , ,$42.98,$10.75
86325,$55.94, , ,$44.75,$11.19
86327,$42.64, , ,$34.11,$8.53
86329,$40.99, , , , 
86331,$38.77, , , , 
86332,$48.74, , , , 
86334,$46.53, , ,$37.22,$9.31
86335,$37.57, , , , 
86336,BR, , ,BR,BR
86337,$53.73, , , , 
86340,$37.66, , , , 
86341,$29.90, , , , 
86343,$37.10, , , , 
86344,$21.60, , , , 
86352,BR, , ,BR,BR
86353,$120.19, , , , 
86356,BR, , ,BR,BR
86357,BR, , ,BR,BR
86359,$64.24, , , , 
86360,$95.82, , , , 
86361,BR, , ,BR,BR
86367,BR, , ,BR,BR
86376,$36.00, , , , 
86378,$38.77, , , , 
86382,$39.33, , , , 
86384,$29.90, , , , 
86403,$13.84, , , , 
86406,$16.06, , , , 
86430,$16.06, , , , 
86431,$18.83, , , , 
86480,BR, , ,BR,BR
8648,BR, , ,BR,BR
86485,$12.74, , , , 
86486, $7.98, , , , 
86490,$14.40, , , , 
86510,$15.50, , , , 
86580,$12.74, , , , 
86590,$15.50, , , , 
86592,$11.07, , , , 
86593,$12.19, , , , 
86602,$34.34, , , , 
86603,$34.34, , , , 
86606,$37.66, , , , 
86609,BR, , ,BR,BR
86611,BR, , ,BR,BR
86612,$37.66, , , , 
86615,$42.64, , , , 
86617,$45.42, , , , 
86618,$42.64, , , , 
86619,$34.34, , , , 
86622,$25.47, , , , 
86625,$34.34, , , , 
86628,$40.99, , , , 
86631,$29.90, , , , 
86632,$33.23, , , , 
86635,$40.99, , , , 
86638,$34.34, , , , 
86641,$25.47, , , , 
86644,$39.33, , , , 
86645,$43.76, , , , 
86648,$37.66, , , , 
86651,$34.34, , , , 
86652,$34.34, , , , 
86653,$34.34, , , , 
86654,$34.34, , , , 
86658,$34.34, , , , 
86663,$40.99, , , , 
86664,$40.99, , , , 
86665,$44.30, , , , 
86666,BR, , ,BR,BR
86668,$25.47, , , , 
86671,$34.34, , , , 
86674,$34.34, , , , 
86677,$46.53, , , , 
86682,$42.64, , , , 
86684,$42.64, , , , 
86687,$34.34, , , , 
86688,$32.67, , , , 
86689,$45.42, , , , 
86692,$42.64, , , , 
86694,$37.66, , , , 
86695,$37.66, , , , 
86696,BR, , ,BR,BR
86698,$34.34, , , , 
86701,$19.61, , , , 
86702,$42.64, , , , 
86703,$29.36, , , , 
86704,$25.41, , , , 
86705,$25.71, , , , 
86706,$23.45, , , , 
86707,$25.25, , , , 
86708,$27.05, , , , 
86709,$24.57, , , , 
86710,$28.24, , , , 
86386 ,BR, , ,BR,BR
86711,BR, , ,BR,BR
86713,$40.99, , , , 
86717,$34.34, , , , 
86720,$34.34, , , , 
86723,$34.34, , , , 
86727,$34.34, , , , 
86729,$34.34, , , , 
86732,$34.34, , , , 
86735,$34.34, , , , 
86738,$34.34, , , , 
86741,$34.34, , , , 
86744,$34.34, , , , 
86747,$42.64, , , , 
86750,$34.34, , , , 
86753,$34.34, , , , 
86756,$34.34, , , , 
86757,$42.74, , , , 
86759,$34.34, , , , 
86762,$19.94, , , , 
86765,$42.64, , , , 
86768,$34.34, , , , 
86771,$34.34, , , , 
86774,$42.64, , , , 
86777,$32.67, , , , 
86778,$40.43, , , , 
86780,BR, , ,BR,BR
86784,$34.34, , , , 
86787,$37.66, , , , 
86788,BR, , ,BR,BR
86789,BR, , ,BR,BR
86790,$34.34, , , , 
86793,$34.34, , , , 
86800,$40.99, , , , 
86803,$31.17, , , , 
86804,$25.85, , , , 
86805,$126.83, , , , 
86806,$42.10, , , , 
86807,$42.10, , , , 
86808,$47.07, , , , 
86812,$59.82, , , , 
86813,$85.84, , , , 
86816,$81.42, , , , 
86817,$233.73, , , , 
86821,$182.77, , , , 
86822,$59.82, , , , 
86825,BR, , ,BR,BR
86826,BR, , ,BR,BR
86828,BR, , ,BR,BR
86829,BR, , ,BR,BR
86830,BR, , ,BR,BR
86831,BR, , ,BR,BR
86832,BR, , ,BR,BR
86833,BR, , ,BR,BR
86834 ,BR, , ,BR,BR
86835,BR, , ,BR,BR
86849,BR, , ,BR,BR
86850,$17.17, , , , 
86860,$17.17, , , , 
86870,$29.90, , , , 
86880,$9.41, , , , 
86885,$12.19, , , , 
86886,$15.50, , , , 
86890,$68.67, , , , 
86891,$106.90, , , , 
86900,$9.41, , , , 
86901,$8.30, , , , 
8690,BR, , ,BR,BR
86904,$12.74, , , , 
86905,$10.53, , , , 
86906,$14.40, , , , 
86910,$18.83, , , , 
86911,$14.40, , , , 
86920,$20.50, , , , 
86921,$17.17, , , , 
86922,$10.53, , , , 
86923,BR, , ,BR,BR
86927,$12.19, , , , 
86930,$85.84, , , , 
86931,$94.16, , , , 
86932,$103.02, , , , 
86940,$17.73, , , , 
86941,$18.83, , , , 
86945,$25.47, , , , 
86950,$47.07, , , , 
86960,BR, , ,BR,BR
86965,$12.19, , , , 
86970,$12.74, , , , 
86971,$13.84, , , , 
86972,$12.74, , , , 
86975,$8.30, , , , 
86976,$6.64, , , , 
86977,$8.30, , , , 
86978,$18.83, , , , 
86985,$17.73, , , , 
86999,BR, , ,BR,BR
87003,$34.34, , , , 
87015,$17.73, , , , 
87040,$23.81, , , , 
87045,$28.24, , , , 
87046,BR, , ,BR,BR
87070,$23.26, , , , 
87071,BR, , ,BR,BR
87073,BR, , ,BR,BR
87075,$23.81, , , , 
87076,$26.59, , , , 
87077,$17.84, , , , 
87081,$13.84, , , , 
87084,$17.17, , , , 
87086,$21.60, , , , 
87088,$20.50, , , , 
87101,$17.73, , , , 
87102,$22.16, , , , 
87103,$25.47, , , , 
87106,$23.26, , , , 
87107,BR, , ,BR,BR
87109,$49.30, , , , 
87110,$34.34, , , , 
87116,$27.70, , , , 
87118,$22.16, , , , 
87140,$12.74, , , , 
87143,$32.67, , , , 
87147,$12.19, , , , 
87149,BR, , ,BR,BR
87150,BR, , ,BR,BR
87152,BR, , ,BR,BR
8715,BR, , ,BR,BR
87158,$11.63, , , , 
87164,$25.47, , ,$5.09,$20.38
87166,$21.60, , , , 
87168,BR, , ,BR,BR
87169,BR, , ,BR,BR
87172,BR, , ,BR,BR
87176,$15.50, , , , 
87177,$25.47, , , , 
87181,$16.06, , , , 
87184,$17.17, , , , 
87185,BR, , ,BR,BR
87186,$19.94, , , , 
87187,$19.94, , , , 
87188,$19.94, , , , 
87190,$12.74, , , , 
87197,$27.70, , , , 
87205,$10.53, , , , 
87206,$19.94, , , , 
87207,$17.73, , , , 
87209,BR, , ,BR,BR
87210,$10.53, , , , 
87220,$12.74, , , , 
87230,$38.77, , , , 
87250,$46.53, , , , 
87252,$42.64, , , , 
87253,$42.64, , , , 
87254,BR, , ,BR,BR
87255,$34.14, , , , 
87260,$25.03, , , , 
87265,$25.03, , , , 
87267,$16.01, , , , 
87269,$25.30, , , , 
87270,$25.03, , , , 
87271,$16.01, , , , 
87272,$25.03, , , , 
87273,BR, , ,BR,BR
87274,$25.03, , , , 
87275,BR, , ,BR,BR
87276,$25.03, , , , 
87277,BR, , ,BR,BR
87278,$25.03, , , , 
87279,BR, , ,BR,BR
87280,$25.03, , , , 
87281,BR, , ,BR,BR
87283,BR, , ,BR,BR
87285,$25.03, , , , 
87290,$25.03, , , , 
87299,$25.03, , , , 
87300,BR, , ,BR,BR
87301,$25.03, , , , 
87305,BR, , ,BR,BR
87320,$25.03, , , , 
87324,$25.03, , , , 
87327,BR, , ,BR,BR
87328,$25.03, , , , 
87329,$25.30, , , , 
87332,$25.03, , , , 
87335,$25.03, , , , 
87336,BR, , ,BR,BR
87337,BR, , ,BR,BR
87338,BR, , ,BR,BR
87339,BR, , ,BR,BR
87340,$20.32, , , , 
87341,BR, , ,BR,BR
87350,$24.16, , , , 
87380,$35.85, , , , 
87385,$25.03, , , , 
87390,$38.52, , , , 
87391,$38.52, , , , 
87400,BR, , ,BR,BR
87420,$25.03, , , , 
87425,$25.03, , , , 
87427,BR, , ,BR,BR
87430,$25.03, , , , 
87449,$25.03, , , , 
87450,$16.68, , , , 
87451,BR, , ,BR,BR
87470,$43.78, , , , 
87471,$53.55, , , , 
87472,BR, , ,BR,BR
87475,$43.78, , , , 
87476,$53.55, , , , 
87477,BR, , ,BR,BR
87480,$43.78, , , , 
87481,$53.55, , , , 
87482,BR, , ,BR,BR
87485,$43.78, , , , 
87486,$53.55, , , , 
87487,BR, , ,BR,BR
87490,$43.78, , , , 
87491,$53.55, , , , 
87492,BR, , ,BR,BR
8749,BR, , ,BR,BR
87495,$43.78, , , , 
87496,$53.55, , , , 
87497,BR, , ,BR,BR
87498,BR, , ,BR,BR
87500,BR, , ,BR,BR
87501,BR, , ,BR,BR
87502,BR, , ,BR,BR
87503,BR, , ,BR,BR
87505,BR, , ,BR,BR
87506,BR, , ,BR,BR
87507,BR, , ,BR,BR
87510,$43.78, , , , 
87511,$53.55, , , , 
87512,BR, , ,BR,BR
87515,$43.78, , , , 
87516,$53.55, , , , 
87517,BR, , ,BR,BR
87520,$43.78, , , , 
87521,$53.55, , , , 
87522,$71.89, , , , 
87525,$43.78, , , , 
87526,$53.55, , , , 
87527,BR, , ,BR,BR
87528,$43.78, , , , 
87529,$53.55, , , , 
87530,BR, , ,BR,BR
87531,$43.78, , , , 
87532,$53.55, , , , 
87533,BR, , ,BR,BR
87534,$43.78, , , , 
87535,$53.55, , , , 
87536,BR, , ,BR,BR
87537,$43.78, , , , 
87538,$53.55, , , , 
87539,BR, , ,BR,BR
87540,$43.78, , , , 
87541,$53.55, , , , 
87542,BR, , ,BR,BR
87550,$43.78, , , , 
87551,$53.55, , , , 
87552,BR, , ,BR,BR
87555,$43.78, , , , 
87556,$53.55, , , , 
87557,BR, , ,BR,BR
87560,$43.78, , , , 
87561,$53.55, , , , 
87562,BR, , ,BR,BR
87580,$43.78, , , , 
87581,$53.55, , , , 
87582,BR, , ,BR,BR
87590,$43.78, , , , 
87591,$53.55, , , , 
87592,BR, , ,BR,BR
87623,BR, , ,BR,BR
87624,BR, , ,BR,BR
87625,BR, , ,BR,BR
87631,BR, , ,BR,BR
87632,BR, , ,BR,BR
876,BR, , ,BR,BR
87640,BR, , ,BR,BR
87641,BR, , ,BR,BR
87650,$43.78, , , , 
87651,$53.55, , , , 
87652,BR, , ,BR,BR
87653,BR, , ,BR,BR
87660,$44.27, , , , 
87661,BR, , ,BR,BR
87797,$43.78, , , , 
87798,$53.55, , , , 
87799,BR, , ,BR,BR
87800,BR, , ,BR,BR
87801,BR, , ,BR,BR
87802,$25.03, , , , 
87803,$25.03, , , , 
87804,$25.03, , , , 
87806,BR, , , , 
87807,BR, , ,BR,BR
87808,BR, , ,BR,BR
87809,BR, , ,BR,BR
87810,$25.03, , , , 
87850,$25.03, , , , 
87880,$25.03, , , , 
87899,$25.03, , , , 
87900,BR, , ,BR,BR
87901,BR, , ,BR,BR
87902,$170.42, , , , 
87903,BR, , ,BR,BR
87904,BR, , ,BR,BR
87905,BR, , ,BR,BR
87906,BR, , ,BR,BR
879,BR, , ,BR,BR
879,BR, , ,BR,BR
87999,BR, , ,BR,BR
88000,$216.00, , , , 
88005,$239.82, , , , 
88007,$263.63, , , , 
88012,$198.83, , , , 
88014,$198.83, , , , 
88016,$241.49, , , , 
88020,$310.16, , , , 
88025,$333.97, , , , 
88027,$358.35, , , , 
88028,$198.83, , , , 
88029,$198.83, , , , 
88036,$128.50, , , , 
88037,$94.16, , , , 
88040,$513.98, , , , 
88045,$42.64, , , , 
88099,BR, , ,BR,BR
88104,$53.17, , ,$10.63,$42.54
88106,$49.30, , ,$9.86,$39.44
88108,$54.83, , ,$10.97,$43.86
88112,$181.27, , ,$81.46,$99.81
8812,$693.75, , ,$612.28,$81.46
88121,$585.91, , ,$513.64,$72.27
88125,$19.39, , ,$1.94,$17.45
88130,$21.60, , ,$19.44,$2.16
88140,$17.17, , , , 
88141,BR, , ,BR,BR
88142,BR, , ,BR,BR
88143,BR, , ,BR,BR
88147,BR, , ,BR,BR
88148,BR, , ,BR,BR
88150,$14.40, , , , 
88152,$11.30, , , , 
88153,BR, , ,BR,BR
88154,BR, , ,BR,BR
88155,$16.06, , ,$12.85,$3.21
88160,$44.30, , ,$13.29,$31.01
88161,$47.07, , ,$18.83,$28.24
88162,$81.97, , ,$32.79,$49.18
88164,BR, , ,BR,BR
88165,BR, , ,BR,BR
88166,BR, , ,BR,BR
88167,BR, , ,BR,BR
88172,$69.23, , , , 
88173,$103.02, , ,$15.45,$87.57
88174,$29.85, , , , 
88175,$36.31, , , , 
8817,$42.85, , ,$9.64,$33.21
88182,$88.06, , ,$70.45,$17.61
88184,$91.64, , , , 
88185,$44.92, , , , 
88187,$132.41, , , , 
88188,$165.16, , , , 
88189,$217.65, , , , 
88199,BR, , ,BR,BR
88230,$92.50, , , , 
88233,$34.90, , , , 
88235,$197.17, , , , 
88237,$151.76, , , , 
88239,$59.82, , , , 
88240,BR, , ,BR,BR
88241,BR, , ,BR,BR
88245,$128.50, , ,$115.65,$12.85
88248,$256.99, , ,$231.29,$25.70
88249,BR, , ,BR,BR
88261,$248.69, , ,$223.82,$24.87
88262,$299.63, , ,$269.67,$29.96
88263,$308.50, , ,$277.65,$30.85
88264,BR, , ,BR,BR
88267,$338.40, , ,$304.56,$33.84
88269,$297.42, , ,$267.68,$29.74
88271,BR, , ,BR,BR
88272,BR, , ,BR,BR
88273,BR, , ,BR,BR
88274,BR, , ,BR,BR
88275,BR, , ,BR,BR
88280,$97.47, , ,$87.72,$9.75
88283,$76.99, , ,$69.29,$7.70
88285,$89.73, , ,$80.76,$8.97
88289,$64.24, , ,$57.82,$6.42
88291,$38.60, , , , 
88299,BR, , ,BR,BR
88300,$14.40, , ,$4.32,$10.08
88302,$29.36, , ,$11.74,$17.62
88304,$43.76, , ,$17.50,$26.26
88305,$94.16, , ,$28.25,$65.91
88307,$164.50, , ,$41.12,$123.38
88309,$222.10, , ,$55.52,$166.58
88311,$23.81, , ,$4.76,$19.05
88312,$42.10, , ,$8.42,$33.68
88313,$23.81, , ,$4.76,$19.05
88314,$56.50, , ,$16.95,$39.55
88318,$34.90, , ,$6.98,$27.92
88319,$54.27, , ,$10.85,$43.42
88321,$91.39, , , , 
88323,$110.22, , ,$22.04,$88.18
88325,$144.00, , , , 
88329,$55.39, , , , 
88331,$121.30, , ,$30.32,$90.98
88332,$60.93, , ,$15.23,$45.70
88333,$166.76, , ,$39.49,$127.26
88334,$86.73, , ,$24.19,$62.54
88341,$125.01, , ,$83.30,$41.71
88342,$78.64, , ,$15.73,$62.91
88344,$216.66, , ,$140.00,$76.66
88346,$76.43, , ,$15.29,$61.14
88347,$68.13, , ,$13.63,$54.50
88348,$199.39, , ,$59.82,$139.57
88355,$189.97, , ,$47.49,$142.48
88356,$300.19, , ,$75.05,$225.14
88358,$271.94, , ,$67.98,$203.96
88360,$204.36, , ,$87.51,$116.85
88361,$204.63, , ,$122.28,$82.35
88362,$218.77, , ,$54.69,$164.08
88363, ,$58.03,$26.09, , 
88364, , , , , 
88365,$88.62, , ,$17.72,$70.90
88366, , , , , 
88367,$384.65, , ,$248.13,$136.51
88368,$350.17, , ,$202.11,$148.05
88369, , , , , 
88371,$45.42, , ,$36.34,$9.08
88372,$55.94, , ,$44.75,$11.19
88373, , , , , 
88374, , , , , 
88375,BR, , ,BR,BR
88377, , , , , 
88380,BR, , ,BR,BR
88381,$313.90, , ,$231.26,$82.63
88384,BR, , ,BR,BR
88385,$602.31, , ,$443.63,$158.68
88386,$629.02, , ,$429.53,$199.49
88387,$58.82, , ,$11.44,$47.38
88388,$35.16, , ,$5.64,$29.51
88399,BR, , ,BR,BR
88720,BR, , ,BR,BR
88738,BR, , ,BR,BR
88740,BR, , ,BR,BR
88741,BR, , ,BR,BR
88749,BR, , ,BR,BR
89049,$350.11, , ,$125.30,$125.30
89050,$13.84, , , , 
89051,$16.06, , , , 
89055,$59.96, , , , 
89060,$16.06, , , , 
89125,$12.74, , , , 
89160,$7.76, , , , 
89190,$12.19, , , , 
89220,BR, , ,BR,BR
89230,$12.15, , , , 
89240,BR, , ,BR,BR
89250,BR, , ,BR,BR
89251,BR, , ,BR,BR
89252,BR, , ,BR,BR
89253,BR, , ,BR,BR
89254,BR, , ,BR,BR
89255,BR, , ,BR,BR
89256,BR, , ,BR,BR
89257,BR, , ,BR,BR
89258,BR, , ,BR,BR
89259,BR, , ,BR,BR
89260,BR, , ,BR,BR
89261,BR, , ,BR,BR
89264,BR, , ,BR,BR
89268,BR, , ,BR,BR
89272,BR, , ,BR,BR
89280,BR, , ,BR,BR
89281,BR, , ,BR,BR
89290,BR, , ,BR,BR
89291,BR, , ,BR,BR
89300,$29.90, , , , 
89310,$28.24, , , , 
89320,$42.64, , , , 
89321,BR, , ,BR,BR
89322,BR, , ,BR,BR
89325,$72.56, , , , 
89329,$192.74, , , , 
89330,$48.74, , , , 
89331,BR, , , , 
89335,BR, , ,BR,BR
89337,BR, , ,BR,BR
89342,BR, , ,BR,BR
89343,BR, , ,BR,BR
89344,BR, , ,BR,BR
89346,BR, , ,BR,BR
89350,$20.50, , , , 
89352,BR, , ,BR,BR
89353,BR, , ,BR,BR
89354,BR, , ,BR,BR
89355,$8.30, , , , 
89356,BR, , ,BR,BR
89360,$22.16, , , , 
89365,$20.50, , , , 
89398,BR, , ,BR,BR
89399,BR, , ,BR,BR
